# Anthropometric measures in 252 adult men (4 cases were withdrawn due to errors)
# Source: Johnson RW. Journal of Statistics Education v.4, n.1 (1996)
# -------------------------------------------------------------------------------------------------
# VARIABLES:
# Age	   = age (years)
# Weight   = body weight (Kg)
# Height   = body height (cm) 
# Thorax   = thorax circumference (cm)
# Waist    = waist circumference (cm) at midpoint between navel and iliac crests
# Wrist    = wrist circumference (cm)
# Biceps   = biceps circumference (cm), arm in extension
# Thigh	   = thigh circumference (cm)
# Knee     = knee circumference (cm)
# Ankle    = ankle circumference (cm)
# --------------------------------------------------------------------------------------------------
Age    Weight  Height    Thorax     Waist     Wrist    Biceps     Thigh      Knee      Ankle
 23      70.0     172      93.1      85.2      17.1      32.0      59.0      37.3       21.9
 22      78.6     184      93.6      83.0      18.2      30.5      58.7      37.3       23.4
 22      69.9     168      95.8      87.9      16.6      28.8      59.6      38.9       24.0
 26      83.8     184     101.8      86.4      18.2      32.4      60.1      37.3       22.8
 24      83.6     181      97.3     100.0      17.7      32.2      63.2      42.2       24.0
 24      95.4     190     104.5      94.4      18.8      35.7      66.0      42.0       25.6
 26      82.1     177     105.1      90.7      17.7      31.9      58.4      38.3       22.9
 25      79.8     184      99.6      88.5      18.8      30.5      60.0      39.4       23.2
 25      86.6     188     100.9      82.5      18.2      35.9      62.9      38.3       23.8
 23      89.9     187      99.6      88.6      19.2      35.6      63.1      41.7       25.0
 26      84.5     189     101.5      83.6      18.5      32.8      59.7      39.7       25.2
 27      98.0     193     103.6      90.9      19.0      37.2      66.2      39.2       25.9
 32      81.9     177     102.0      91.6      17.7      32.5      63.4      38.3       21.5
 30      93.1     181     104.1     101.8      18.8      36.9      66.0      41.5       23.7
 35      85.2     177     101.3      96.4      18.2      36.1      69.0      39.0       23.1
 35      73.8     168      99.1      92.8      16.9      31.1      63.1      38.7       21.7
 34      88.8     180     101.9      96.4      17.3      36.2      64.8      40.8       23.1
 32      94.9     180     107.6      97.5      19.3      38.2      66.9      40.0       24.4
 28      83.3     172     106.8      89.6      18.5      37.2      64.2      38.7       22.9
 33      96.0     187     106.2     100.5      18.2      37.1      65.8      40.6       24.0
 28      81.2     173     103.3      95.9      18.4      32.5      63.5      38.0       22.1
 28      90.9     177     111.4      98.8      19.9      33.0      63.4      40.6       24.6
 31      63.6     173      86.0      76.4      16.7      27.9      57.4      35.3       22.2
 32      67.5     178      86.7      80.0      17.1      29.8      54.9      36.2       22.1
 28      68.6     172      90.2      76.3      17.6      31.1      58.4      35.5       22.9
 27      72.2     182      89.6      79.7      17.7      29.9      55.0      36.7       22.5
 34      59.6     171      88.6      74.6      16.5      28.7      51.7      34.7       21.4
 31      67.1     171      97.4      88.7      17.0      29.2      57.5      36.0       21.0
 27      60.4     164      93.5      73.9      17.2      30.5      50.1      34.5       21.3
 29      72.9     175      97.4      83.5      17.6      30.1      58.9      35.3       22.6
 32      82.6     187     100.5      88.7      18.4      32.5      57.5      38.7       33.9
 29      72.7     181      93.5      84.5      17.9      30.1      58.5      38.8       21.5
 27      76.2     181      93.0      79.1      18.8      29.0      57.3      36.2       24.5
 41      99.1     180     111.7     100.5      18.7      37.5      67.1      44.2       25.2
 41     112.2     187     117.0     115.6      19.7      37.3      71.2      43.3       26.3
 49      87.0     165     118.5     113.1      17.0      32.0      61.9      38.3       21.9
 40      91.7     178     106.5     100.9      19.0      35.1      63.5      39.9       22.6
 50      89.2     173     105.6      98.8      19.4      33.2      66.0      41.5       24.7
 46     164.7     184     136.2     148.1      21.4      45.0      87.3      49.1       29.6
 50      92.1     170     114.8     108.1      18.3      34.1      61.3      41.1       24.7
 45     119.2     175     128.3     126.2      21.4      36.4      72.5      39.6       26.6
 48      98.4     178     113.3     111.2      18.4      36.7      67.7      40.9       25.0
 41      96.2     182     106.6     104.3      18.8      35.8      65.0      40.2       23.0
 39      56.8     173      85.1      76.0      16.1      26.1      50.0      34.7       21.0
 43      74.5     186      96.6      81.5      18.3      29.7      58.4      38.2       23.4
 40      60.6     171      88.2      73.7      17.3      27.9      53.3      34.5       22.5
 45      61.6     174      92.3      83.4      16.3      28.8      52.0      35.8       20.6
 47      57.8     170      83.4      70.4      16.8      26.8      50.6      34.4       21.9
 47      71.8     184      90.2      86.7      17.3      26.0      52.6      37.2       22.4
 40      63.2     175      89.2      77.9      17.2      26.7      51.4      34.9       21.0
 51      62.3     172      89.7      82.0      16.9      29.6      49.3      33.7       21.4
 49      69.3     187      93.3      79.6      18.5      38.5      52.6      37.6       22.6
 42      61.8     171      87.6      77.6      18.5      27.7      51.9      34.9       22.5
 54      89.8     183     107.6     100.0      18.9      35.9      57.2      38.0       22.0
 58      82.3     173     100.0      99.8      18.5      33.1      62.1      39.6       22.5
 62      91.3     177     111.5     104.2      19.2      37.7      61.8      39.8       22.7
 54      91.9     180     115.4     105.3      18.2      31.6      59.1      38.0       22.5
 61      81.5     167     104.8      98.3      18.5      34.5      60.6      37.7       22.9
 62      98.0     186     112.3     104.8      20.2      36.2      61.6      40.9       23.1
 56      81.1     174     102.9      94.7      18.3      32.5      60.9      38.0       22.1
 54      87.7     178     107.6     102.4      19.1      32.7      61.0      39.4       23.6
 61      80.7     170     105.3      99.7      18.8      33.6      60.8      40.1       22.7
 57      93.2     178     105.3     105.5      18.4      35.3      65.0      41.2       24.7
 55      83.2     171     103.0     100.3      18.7      34.8      64.8      40.2       22.7
 54      68.7     180      90.0      83.9      17.4      29.6      55.0      36.1       21.7
 55      70.2     182      95.4      86.6      18.7      32.8      54.3      35.4       21.5
 54      70.4     176      89.3      78.4      18.1      32.6      56.0      37.4       22.4
 55      71.1     182      94.4      84.6      17.3      27.3      51.2      37.4       21.6
 62      76.0     182      97.6      91.5      18.6      31.5      56.6      38.6       22.4
 55      66.6     175      88.5      82.8      18.3      30.3      58.9      37.6       21.6
 56      72.9     187      93.6      82.9      18.2      29.7      52.9      37.5       23.1
 55      56.7     163      87.7      76.0      16.9      29.3      50.9      35.4       19.1
 61      64.9     167      93.4      83.3      16.8      29.4      55.5      35.2       20.9
 57      73.7     177      91.6      78.8      18.1      30.2      56.7      39.7       24.2
 69      80.6     174     102.0      95.0      18.8      30.8      55.0      38.3       21.8
 81      73.1     178      96.4      95.4      18.3      31.4      53.5      37.5       21.5
 66      77.7     176     102.7      98.6      19.0      30.3      56.5      39.3       22.7
 67      74.3     172      97.7      95.8      19.0      29.4      54.8      38.2       23.7
 64      68.2     171      97.1      89.0      17.7      29.9      54.8      38.0       22.0
 64      86.3     185     103.1      97.8      19.0      34.3      58.9      39.0       23.0
 70      77.5     178     101.8      94.9      19.2      31.2      56.0      36.5       24.1
 72      76.2     176     101.4      99.8      18.0      29.7      56.3      36.6       22.0
 67      75.8     171      98.9      89.7      18.2      32.4      54.7      37.8       33.7
 72      71.6     171      97.5      88.1      18.8      32.6      57.2      37.7       21.8
 64      72.6     167     104.3      90.9      18.1      29.2      57.8      39.5       23.3
 46      80.2     184      97.3      86.0      18.8      30.2      61.0      38.4       23.8
 48      79.8     185      96.7      86.5      18.7      28.8      60.4      39.9       24.4
 46      80.3     178      99.7      95.6      17.7      29.1      58.3      38.2       22.5
 44      81.5     177     101.9      93.2      18.8      31.4      58.9      39.7       23.1
 47      75.0     179      97.2      83.1      18.4      30.1      56.9      38.3       22.1
 46      87.3     182     106.6      97.5      19.1      33.3      58.9      40.5       24.5
 47      83.6     189      99.6      88.8      17.8      30.3      57.4      39.6       24.6
 38      85.6     186      99.1      91.6      18.5      31.6      60.6      39.4       22.9
 50      73.7     169      99.4      86.7      18.2      30.6      62.1      39.3       23.3
 46      71.0     173      95.1      88.2      18.2      31.6      54.7      37.3       21.9
 47      89.4     183     107.5      94.0      18.3      35.3      62.7      39.0       22.3
 49      90.0     187     106.5      95.0      18.6      32.2      59.0      39.4       22.3
 48      78.8     183      99.1      92.0      17.0      27.9      59.3      38.4       22.4
 41      78.4     181      96.7      89.2      18.4      31.0      60.0      38.4       23.2
 49      89.2     187     103.5      95.5      19.7      31.0      59.1      39.8       25.4
 43      80.3     176     104.0      98.6      17.7      30.1      59.5      36.1       22.0
 43      75.1     174      93.1      87.3      18.8      31.0      54.7      39.0       24.8
 43      90.8     187     105.2     102.8      18.1      30.5      61.2      39.3       23.5
 52      92.2     189     110.0     101.6      19.1      35.1      55.8      38.7       23.4
 43      88.0     192     110.1      88.7      19.2      35.1      57.5      40.0       24.8
 40      76.4     176      97.8      92.3      17.3      32.1      57.5      36.8       22.8
 43      77.5     174      96.3      90.6      18.1      33.3      61.9      38.0       22.3
 43      83.1     178     108.0     105.0      17.4      33.5      63.7      40.0       23.6
 47      80.9     178      99.7      95.0      19.8      35.3      62.3      38.1       23.9
 42      73.9     178      93.5      89.6      17.4      30.7      61.5      37.8       21.9
 48      79.5     182     100.7      92.4      17.5      31.8      59.3      38.1       21.8
 40      71.7     176      97.0      86.6      17.3      29.8      55.9      36.3       22.1
 48      80.4     185      96.0      90.0      18.1      29.9      58.8      38.4       22.8
 51      81.2     183      99.2      90.0      19.5      33.4      56.8      38.8       23.3
 40      86.6     188      95.4      92.4      18.5      33.6      64.6      41.1       24.8
 44      85.1     184     101.8      87.5      18.0      32.1      58.5      39.2       24.5
 52      93.7     189     104.3      99.2      19.5      33.9      58.5      39.3       24.6
 44      84.0     182      99.2      98.1      18.4      33.0      57.1      40.5       23.2
 40      72.7     175      99.3      83.3      17.6      34.4      60.5      38.7       22.6
 47      68.7     170      94.0      86.1      17.6      30.6      58.1      36.5       22.1
 50      73.0     169      98.9      84.1      18.0      34.4      58.5      36.6       23.5
 46      75.8     170     101.0      89.9      17.6      35.6      60.7      36.0       21.9
 42      80.5     175      98.7      92.1      17.2      33.8      60.7      36.8       22.2
 43      69.1     172      95.9      78.0      17.4      33.9      53.5      35.8       20.8
 40      87.2     186     103.9      93.5      18.1      33.3      61.7      39.0       21.8
 42      75.0     177      96.2      87.0      17.7      31.6      57.4      36.9       22.2
 49      77.9     182      97.8      90.1      17.6      27.5      57.0      38.7       23.2
 40      77.7     179      94.6      90.3      17.1      31.2      60.3      38.5       23.0
 47      89.4     186     103.6      99.8      17.9      33.5      61.2      38.1       22.6
 50      71.2     170     100.4      89.4      17.3      33.6      56.1      35.6       20.5
 41      76.3     177      98.4      87.2      18.1      34.0      56.0      36.9       23.0
 44      84.4     177     104.6     101.1      17.6      30.9      58.9      37.9       22.7
 39      75.6     180      92.9      86.1      17.1      32.7      58.8      36.1       22.4
 43      85.2     188      97.8      98.6      17.7      34.3      63.6      39.2       23.8
 40      76.3     181      98.3      88.5      17.6      31.7      58.1      38.4       22.5
 49      96.5     191     104.7     106.6      18.7      35.5      66.5      42.5       24.5
 40      80.2     180      98.6      93.1      16.6      30.8      59.1      39.6       21.6
 40      78.6     177      99.5      93.0      17.8      32.0      60.4      38.2       22.0
 52      75.8     172     102.7      91.0      17.9      31.6      57.1      36.7       22.3
 23      72.5     184      92.1      77.1      18.2      30.5      56.1      36.1       22.7
 23      85.3     197      96.6      85.3      18.3      31.8      59.1      37.6       23.2
 24      70.8     180      92.7      81.9      17.3      33.5      56.4      36.5       22.0
 24      94.6     185     102.0      99.1      18.7      36.1      71.2      43.5       25.2
 25      93.7     177     110.9     100.5      18.4      33.3      68.4      40.8       24.6
 25      65.2     184      92.3      76.5      16.9      25.8      51.9      35.7       22.0
 26     101.2     178     114.1     106.8      18.4      36.0      67.6      42.7       24.7
 26      69.1     175      92.9      77.6      17.8      31.6      56.9      35.9       20.4
 26     109.7     189     108.3     102.9      19.6      38.5      72.9      43.5       25.1
 27      66.2     184      88.5      72.8      17.4      27.8      53.6      36.8       23.8
 27      71.1     171      94.0      88.2      17.9      30.6      56.8      37.4       22.8
 27      90.8     187     101.1     100.1      19.4      33.7      62.1      40.0       24.9
 28      77.8     191      92.1      83.5      17.7      32.2      57.3      37.8       21.7
 28      93.3     175     105.6     105.0      19.1      35.2      68.6      40.0       25.2
 28      82.8     184      98.5      90.8      18.6      31.6      60.8      38.5       25.0
 30      61.9     175      88.7      76.6      16.9      27.0      50.1      34.8       21.8
 31      80.4     182     101.1      92.4      18.2      30.1      59.4      39.0       24.6
 31      68.6     184      94.0      81.2      16.5      27.0      52.5      36.6       21.0
 33      88.9     185     103.8      95.6      19.1      31.3      61.4      40.6       25.0
 33      83.6     175      98.9      92.1      19.7      33.5      64.0      37.3       23.5
