# Life expectancy in 191 countries
# Source: WHO website (march 2001)
# -------------------------------------------------------------------------
# VARIABLES:
# Country  
# Overall = Overall life expectancy
# Women   = life expectancy in women
# Men     = life expectancy in men
# -------------------------------------------------------------------------
Country	Overall	Men	Women
Afghanistan	37.7	36.7	38.7
Albania	60.0	56.5	63.4
Algeria	61.6	62.5	60.7
Andorra	72.3	69.3	75.2
Angola	38.0	37.0	38.9
Antigua-and-Barbuda	65.8	63.4	68.3
Argentina	66.7	63.8	69.6
Armenia	66.7	65.0	68.3
Australia	73.2	70.8	75.5
Austria	71.6	68.8	74.4
Azerbaijan	63.7	60.6	66.7
Bahamas	59.1	56.7	61.6
Bahrain	64.4	63.9	64.9
Bangladesh	49.9	50.1	49.8
Barbados	65.0	62.4	67.6
Belarus	61.7	56.2	67.2
Belgium	71.6	68.7	74.6
Belize	60.9	58.5	63.3
Benin	42.2	41.9	42.6
Bhutan	51.8	51.4	52.2
Bolivia	53.3	52.5	54.1
Bosnia-and-Herzegovina	64.9	63.4	66.4
Botswana	32.3	32.3	32.2
Brazil	59.1	55.2	62.9
Brunei-Darussalam	64.4	63.4	65.4
Bulgaria	64.4	61.2	67.7
Burkina-Faso	35.5	35.3	35.7
Burundi	34.6	34.6	34.6
Cambodia	45.7	43.9	47.5
Cameroon	42.2	41.5	43.0
Canada	72.0	70.0	74.0
Cape-Verde	57.6	54.6	60.6
Central-African-Republic	36.0	35.6	36.5
Chad	39.4	38.6	40.2
Chile	68.6	66.0	71.3
China	62.3	61.2	63.3
Colombia	62.9	60.3	65.5
Comoros	46.8	46.1	47.5
Congo	45.1	44.3	45.9
Cook-Islands	63.4	62.2	64.5
Costa-Rica	66.7	65.2	68.1
Côte-dIvoire	42.8	42.2	43.3
Croatia	67.0	63.3	70.6
Cuba	68.4	67.4	69.4
Cyprus	69.8	68.7	70.9
Czech-Republic	68.0	65.2	70.8
Democratic-Peoples-Republic-of-Korea	52.3	51.4	53.1
Democratic-Republic-of-the-Congo	36.3	36.4	36.2
Denmark	69.4	67.2	71.5
Djibouti	37.9	37.7	38.1
Dominica	69.8	67.2	72.3
Dominican-Republic	62.5	62.1	62.9
Ecuador	61.0	59.9	62.1
Egypt	58.5	58.6	58.3
El-Salvador	61.5	58.6	64.5
Equatorial-Guinea	44.1	42.8	45.4
Eritrea	37.7	38.5	36.9
Estonia	63.1	58.1	68.1
Ethiopia	33.5	33.5	33.5
Fiji	59.4	57.7	61.1
Finland	70.5	67.2	73.7
France	73.1	69.3	76.9
Gabon	47.8	46.6	49.0
Gambia	48.3	47.2	49.4
Georgia	66.3	63.1	69.4
Germany	70.4	67.4	73.5
Ghana	45.5	45.0	46.0
Greece	72.5	70.5	74.6
Grenada	65.5	62.4	68.5
Guatemala	54.3	52.1	56.4
Guinea	37.8	37.0	38.5
Guinea-Bissau	37.2	36.8	37.5
Guyana	60.2	57.1	63.3
Haiti	43.8	42.4	45.2
Honduras	61.1	60.0	62.3
