"Country";"LE";"LE_men";"LE_women";"Continent"
"Afghanistan";37.7;36.7;38.7;"Asia"
"Albania";60;56.5;63.4;"Europe"
"Algeria";61.6;62.5;60.7;"Africa"
"Andorra";72.3;69.3;75.2;"Europe"
"Angola";38;37;38.9;"Africa"
"Antigua-and-Barbuda";65.8;63.4;68.3;"America, North"
"Argentina";66.7;63.8;69.6;"America, South"
"Armenia";66.7;65;68.3;"Europe"
"Australia";73.2;70.8;75.5;"Oceania"
"Austria";71.6;68.8;74.4;"Europe"
"Azerbaijan";63.7;60.6;66.7;"Europe"
"Bahamas";59.1;56.7;61.6;"America, North"
"Bahrain";64.4;63.9;64.9;"Asia"
"Bangladesh";49.9;50.1;49.8;"Asia"
"Barbados";65;62.4;67.6;"America, North"
"Belarus";61.7;56.2;67.2;"Europe"
"Belgium";71.6;68.7;74.6;"Europe"
"Belize";60.9;58.5;63.3;"America, North"
"Benin";42.2;41.9;42.6;"Africa"
"Bhutan";51.8;51.4;52.2;"Asia"
"Bolivia";53.3;52.5;54.1;"America, South"
"Bosnia-and-Herzegovina";64.9;63.4;66.4;"Europe"
"Botswana";32.3;32.3;32.2;"Africa"
"Brazil";59.1;55.2;62.9;"America, South"
"Brunei-Darussalam";64.4;63.4;65.4;"Asia"
"Bulgaria";64.4;61.2;67.7;"Europe"
"Burkina-Faso";35.5;35.3;35.7;"Africa"
"Burundi";34.6;34.6;34.6;"Africa"
"Cambodia";45.7;43.9;47.5;"Asia"
"Cameroon";42.2;41.5;43;"Africa"
"Canada";72;70;74;"America, North"
"Cape-Verde";57.6;54.6;60.6;"Africa"
"Central-African-Republic";36;35.6;36.5;"Africa"
"Chad";39.4;38.6;40.2;"Africa"
"Chile";68.6;66;71.3;"America, South"
"China";62.3;61.2;63.3;"Asia"
"Colombia";62.9;60.3;65.5;"America, South"
"Comoros";46.8;46.1;47.5;"Africa"
"Congo";45.1;44.3;45.9;"Africa"
"Cook-Islands";63.4;62.2;64.5;"Oceania"
"Costa-Rica";66.7;65.2;68.1;"America, North"
"Côte-d'Ivoire";42.8;42.2;43.3;"Africa"
"Croatia";67;63.3;70.6;"Europe"
"Cuba";68.4;67.4;69.4;"America, North"
"Cyprus";69.8;68.7;70.9;"Europe"
"Czech-Republic";68;65.2;70.8;"Europe"
"Democratic-People's-Republic-of-Korea";52.3;51.4;53.1;"Asia"
"Democratic-Republic-of-the-Congo";36.3;36.4;36.2;"Africa"
"Denmark";69.4;67.2;71.5;"Europe"
"Djibouti";37.9;37.7;38.1;"Africa"
"Dominica";69.8;67.2;72.3;"America, North"
"Dominican-Republic";62.5;62.1;62.9;"America, North"
"Ecuador";61;59.9;62.1;"America, South"
"Egypt";58.5;58.6;58.3;"Africa"
"El-Salvador";61.5;58.6;64.5;"America, North"
"Equatorial-Guinea";44.1;42.8;45.4;"Africa"
"Eritrea";37.7;38.5;36.9;"Africa"
"Estonia";63.1;58.1;68.1;"Europe"
"Ethiopia";33.5;33.5;33.5;"Africa"
"Fiji";59.4;57.7;61.1;"Oceania"
"Finland";70.5;67.2;73.7;"Europe"
"France";73.1;69.3;76.9;"Europe"
"Gabon";47.8;46.6;49;"Africa"
"Gambia";48.3;47.2;49.4;"Africa"
"Georgia";66.3;63.1;69.4;"Europe"
"Germany";70.4;67.4;73.5;"Europe"
"Ghana";45.5;45;46;"Africa"
"Greece";72.5;70.5;74.6;"Europe"
"Grenada";65.5;62.4;68.5;"America, North"
"Guatemala";54.3;52.1;56.4;"America, North"
"Guinea";37.8;37;38.5;"Africa"
"Guinea-Bissau";37.2;36.8;37.5;"Africa"
"Guyana";60.2;57.1;63.3;"America, South"
"Haiti";43.8;42.4;45.2;"America, North"
"Honduras";61.1;60;62.3;"America, North"
"Hungary";64.1;60.4;67.9;"Europe"
"Iceland";70.8;69.2;72.3;"Europe"
"India";53.2;52.8;53.5;"Asia"
"Indonesia";59.7;58.8;60.6;"Asia"
"Iran,-Islamic-Republic-of ";60.5;61.3;59.8;"Asia"
"Iraq";55.3;55.4;55.1;"Asia"
"Ireland";69.6;67.5;71.7;"Europe"
"Israel";70.4;69.2;71.6;"Asia"
"Italy";72.7;70;75.4;"Europe"
"Jamaica";67.3;66.8;67.9;"America, North"
"Japan";74.5;71.9;77.2;"Asia"
"Jordan";60;60.7;59.3;"Asia"
"Kazakhstan";56.4;51.5;61.2;"Asia"
"Kenya";39.3;39;39.6;"Africa"
"Kiribati";55.3;53.9;56.6;"Oceania"
"Kuwait";63.2;63;63.4;"Asia"
"Kyrgyzstan";56.3;53.4;59.1;"Asia"
"Lao-People's-Democratic-Republic";46.1;45;47.1;"Asia"
"Latvia";62.2;57.1;67.2;"Europe"
"Lebanon";60.6;61.2;60.1;"Asia"
"Lesotho";36.9;36.6;37.2;"Africa"
"Liberia";34;33.8;34.2;"Africa"
"Libyan-Arab-Jamahiriya";59.3;59.7;58.9;"Africa"
"Lithuania";64.1;60.6;67.5;"Europe"
"Luxembourg";71.1;68;74.2;"Europe"
"Madagascar";36.6;36.5;36.8;"Africa"
"Malawi";29.4;29.3;29.4;"Africa"
"Malaysia";61.4;61.3;61.6;"Asia"
"Maldives";53.9;54.4;53.3;"Asia"
"Mali";33.1;32.6;33.5;"Africa"
"Malta";70.5;68.4;72.5;"Europe"
"Marshall-Islands";56.8;56;57.6;"Oceania"
"Mauritania";41.4;40.2;42.5;"Africa"
"Mauritius";62.7;59;66.3;"Africa"
"Mexico";65;62.4;67.6;"America, North"
"Micronesia,-Federated-States-of";59.6;58.7;60.6;"Oceania"
"Monaco";72.4;68.5;76.3;"Europe"
"Mongolia";53.8;51.3;56.3;"Asia"
"Morocco";59.1;58.7;59.4;"Africa"
"Mozambique";34.4;33.7;35.1;"Africa"
"Myanmar";51.6;51.4;51.9;"Asia"
"Namibia";35.6;35.8;35.4;"Africa"
"Nauru";52.5;49.8;55.1;"Oceania"
"Nepal";49.5;49.4;49.5;"Asia"
"Netherlands";72;69.6;74.4;"Europe"
"New-Zealand";69.2;67.1;71.2;"Oceania"
"Nicaragua";58.1;56.4;59.9;"America, North"
"Niger";29.1;28.1;30.1;"Africa"
"Nigeria";38.3;38.1;38.4;"Africa"
"Niue";61.6;61;62.2;"Oceania"
"Norway";71.7;68.8;74.6;"Europe"
"Oman";63;61.8;64.1;"Asia"
"Pakistan";55.9;55;56.8;"Asia"
"Palau";59;57.4;60.7;"Oceania"
"Panama";66;64.9;67.2;"America, North"
"Papua-New-Guinea";47;45.5;48.5;"Oceania"
"Paraguay";63;60.7;65.3;"America, South"
"Peru";59.4;58;60.8;"America, South"
"Philippines";58.9;57.1;60.7;"Asia"
"Poland";66.2;62.3;70.1;"Europe"
"Portugal";69.3;65.9;72.7;"Europe"
"Qatar";63.5;64.2;62.8;"Asia"
"Republic-of-Korea";65;62.3;67.7;"Asia"
"Republic-of-Moldova";61.5;58.5;64.5;"Europe"
"Romania";62.3;58.8;65.8;"Europe"
"Russian-Federation";61.3;56.1;66.4;"Asia"
"Rwanda";32.8;32.9;32.7;"Africa"
"Saint-Kitts-and-Nevis";61.6;58.7;64.4;"America, North"
"Saint-Lucia";65;62.4;67.6;"America, North"
"Saint-Vincent-and-the-Grenadines";66.4;65;67.8;"America, North"
"Samoa";60.5;58.7;62.3;"Oceania"
"San-Marino";72.3;69.5;75;"Europe"
"Sao-Tome-and-Principe";53.5;52.1;54.8;"Africa"
"Saudi-Arabia";64.5;65.1;64;"Asia"
"Senegal";44.6;43.5;45.6;"Africa"
"Seychelles";59.3;56.4;62.1;"Africa"
"Sierra-Leone";25.9;25.8;26;"Africa"
"Singapore";69.3;67.4;71.2;"Asia"
"Slovakia";66.6;63.5;69.7;"Europe"
"Slovenia";68.4;64.9;71.9;"Europe"
"Solomon-Islands";54.9;54.5;55.3;"Oceania"
"Somalia";36.4;35.9;36.9;"Africa"
"South-Africa";39.8;38.6;41;"Africa"
"Spain";72.8;69.8;75.7;"Europe"
"Sri-Lanka";62.8;59.3;66.3;"Asia"
"Sudan";43;42.6;43.5;"Africa"
"Suriname";62.7;60.2;65.2;"America, South"
"Swaziland";38.1;37.8;38.4;"Africa"
"Sweden";73;71.2;74.9;"Europe"
"Switzerland";72.5;69.5;75.5;"Europe"
"Syrian-Arab-Republic";58.8;58.8;58.9;"Asia"
"Tajikistan";57.3;55.1;59.4;"Asia"
"Thailand";60.2;58.4;62.1;"Asia"
"The-former-Yugoslav-Republic-of-Macedonia";63.7;61.8;65.6;"Europe"
"Togo";40.7;40;41.4;"Africa"
"Tonga";62.9;61.4;64.3;"Oceania"
"Trinidad-and-Tobago";64.6;62.8;66.4;"America, North"
"Tunisia";61.4;62;60.7;"Africa"
"Turkey";62.9;64;61.8;"Asia"
"Turkmenistan";54.3;51.9;56.7;"Asia"
"Tuvalu";57.4;57.1;57.6;"Oceania"
"Uganda";32.7;32.9;32.5;"Africa"
"Ukraine";63;58.5;67.5;"Europe"
"United-Arab-Emirates";65.4;65;65.8;"Asia"
"United-Kingdom";71.7;69.7;73.7;"Europe"
"United-Republic-of-Tanzania";36;35.9;36.1;"Africa"
"United-States-of-America";70;67.5;72.6;"America, North"
"Uruguay";67;64.1;69.9;"America, South"
"Uzbekistan";60.2;58;62.3;"Asia"
"Vanuatu";52.8;51.3;54.4;"Oceania"
"Venezuela,-Bolivarian-Republic-of";65;62.9;67.1;"America, South"
"Viet-Nam";58.2;56.7;59.6;"Asia"
"Yemen";49.7;49.7;49.7;"Africa"
"Yugoslavia";66.1;64.2;68.1;"Europe"
"Zambia";30.3;30;30.7;"Africa"
"Zimbabwe";32.9;33.4;32.4;"Africa"
