Class	Age	Sex	Survival
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	survived
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	male	died
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	survived
1	adult	female	died
1	adult	female	died
1	adult	female	died
1	adult	female	died
1	children	male	survived
1	children	male	survived
1	children	male	survived
1	children	male	survived
1	children	male	survived
1	children	female	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	survived
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	male	died
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
2	adult	female	survived
